,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
627,,DispreferenceFirst,dispreferenceFirst,-0.39447731755424065,,,,,2535,,,610000,,,Devoicing,650,,Final,,
542,,DispreferenceFirst,dispreferenceFirst,-0.5668934240362812,,,,,1764,bikup,,470285,,,Devoicing,565,p,Final,,
692,,DispreferenceFirst,dispreferenceFirst_inverse,-0.9487666034155597,,,,,1054,bidob,,138478,,,Voicing,715,b,Final,,
911,,DispreferenceFirst,dispreferenceFirst,-0.8771929824561403,,,,,1140,dogib,,275520,,,Voicing,934,b,Final,,
1140,,DispreferenceFirst,dispreferenceFirst,-0.7593014426727411,,,,,1317,bidobe,,732817,,,Voicing,1163,b,NonFinal,,
773,,DispreferenceFirst,dispreferenceFirst_inverse,-0.6574621959237343,,,,,1521,pidob,,279712,,,Voicing,796,b,Final,,
1030,,DispreferenceFirst,dispreferenceFirst,-0.26392187912377935,,,,,3789,pidop,,503429,,,Devoicing,1053,p,Final,,
15,,DispreferenceFirst,dispreferenceFirst,-0.7267441860465116,,,,,1376,tekupe,,99766,,,Devoicing,38,p,NonFinal,,
219,,DispreferenceFirst,dispreferenceFirst,-0.6035003017501509,,,,,1657,tekube,,427876,,,Voicing,242,b,NonFinal,,
4,,DispreferenceFirst,dispreferenceFirst,-0.6447453255963894,,,,,1551,bugipe,,82029,,,Devoicing,27,p,NonFinal,,
324,,DispreferenceFirst,dispreferenceFirst,-0.49091801669121254,,,,,2037,dokube,,607893,,,Voicing,347,b,NonFinal,,
428,,DispreferenceFirst,dispreferenceFirst,-0.9727626459143969,,,,,1028,potipe,,269043,,,Devoicing,451,p,NonFinal,,
695,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7911392405063291,,,,,1264,dogipe,,142777,,,Devoicing,718,p,NonFinal,,
943,,DispreferenceFirst,dispreferenceFirst,-0.8312551953449709,,,,,1203,dokub,,326401,,,Voicing,966,b,Final,,
16,,DispreferenceFirst,dispreferenceFirst,-0.9871668311944719,,,,,1013,bogeb,,100946,,,Voicing,39,b,Final,,
134,,DispreferenceFirst,dispreferenceFirst,-0.9259259259259259,,,,,1080,dogib,,284562,,,Voicing,157,b,Final,,
743,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7092198581560284,,,,,1410,tekupe,,227622,,,Devoicing,766,p,NonFinal,,
915,,DispreferenceFirst,dispreferenceFirst,-0.700770847932726,,,,,1427,gotepe,,281599,,,Devoicing,938,p,NonFinal,,
86,,DispreferenceFirst,dispreferenceFirst,-0.7530120481927711,,,,,1328,dogib,,210596,,,Voicing,109,b,Final,,
973,,DispreferenceFirst,dispreferenceFirst,-1.0869565217391304,,,,,920,dokub,,381071,,,Voicing,996,b,Final,,
