,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
951,,DispreferenceFirst,dispreferenceFirst,-0.8368200836820083,,,,,1195,pigepe,,340398,,,Devoicing,974,p,NonFinal,,
835,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7380073800738007,,,,,1355,bidope,,380733,,,Devoicing,858,p,NonFinal,,
758,,DispreferenceFirst,dispreferenceFirst_inverse,-0.6373486297004461,,,,,1569,bogepe,,255607,,,Devoicing,781,p,NonFinal,,
108,,DispreferenceFirst,dispreferenceFirst,-0.7407407407407407,,,,,1350,gotepe,,244139,,,Devoicing,131,p,NonFinal,,
150,,DispreferenceFirst,dispreferenceFirst,-0.5889281507656066,,,,,1698,pidope,,309778,,,Devoicing,173,p,NonFinal,,
639,,DispreferenceFirst,dispreferenceFirst,-0.8613264427217916,,,,,1161,pigep,,625357,,,Devoicing,662,p,Final,,
222,,DispreferenceFirst,dispreferenceFirst,-0.8038585209003215,,,,,1244,pigep,,432965,,,Devoicing,245,p,Final,,
889,,DispreferenceFirst,dispreferenceFirst,-0.9302325581395349,,,,,1075,degob,,241347,,,Voicing,912,b,Final,,
657,,DispreferenceFirst,dispreferenceFirst,-0.922509225092251,,,,,1084,pidop,,648982,,,Devoicing,680,p,Final,,
1115,,DispreferenceFirst,dispreferenceFirst,-0.7037297677691766,,,,,1421,bikube,,690674,,,Voicing,1138,b,NonFinal,,
864,,DispreferenceFirst,dispreferenceFirst,-0.727802037845706,,,,,1374,bikupe,,193555,,,Devoicing,887,p,NonFinal,,
408,,DispreferenceFirst,dispreferenceFirst,-1.0471204188481675,,,,,955,dokub,,243537,,,Voicing,431,b,Final,,
1010,,DispreferenceFirst,dispreferenceFirst,-0.5643340857787811,,,,,1772,gutope,,447039,,,Devoicing,1033,p,NonFinal,,
883,,DispreferenceFirst,dispreferenceFirst,-0.3137747097583935,,,,,3187,,,230808,,,Devoicing,906,,Final,,
1169,,DispreferenceFirst,dispreferenceFirst,-0.7067137809187279,,,,,1415,dokube,,781368,,,Voicing,1192,b,NonFinal,,
694,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8149959250203749,,,,,1227,gutope,,141328,,,Devoicing,717,p,NonFinal,,
463,,DispreferenceFirst,dispreferenceFirst,-0.9727626459143969,,,,,1028,todub,,328901,,,Voicing,486,b,Final,,
539,,DispreferenceFirst,dispreferenceFirst,-0.942507068803016,,,,,1061,bugip,,464946,,,Devoicing,562,p,Final,,
1143,,DispreferenceFirst,dispreferenceFirst,-0.7867820613690008,,,,,1271,gotebe,,737436,,,Voicing,1166,b,NonFinal,,
841,,DispreferenceFirst,dispreferenceFirst_inverse,-0.6397952655150352,,,,,1563,degob,,389272,,,Voicing,864,b,Final,,
932,,DispreferenceFirst,dispreferenceFirst,-0.9149130832570905,,,,,1093,pidope,,308214,,,Devoicing,955,p,NonFinal,,
800,,DispreferenceFirst,dispreferenceFirst_inverse,-0.7112375533428165,,,,,1406,bidope,,322374,,,Devoicing,823,p,NonFinal,,
983,,DispreferenceFirst,dispreferenceFirst,-0.6724949562878278,,,,,1487,dogipe,,395838,,,Devoicing,1006,p,NonFinal,,
959,,DispreferenceFirst,dispreferenceFirst,-0.601684717208183,,,,,1662,todub,,357476,,,Voicing,982,b,Final,,
442,,DispreferenceFirst,dispreferenceFirst,-1.1820330969267139,,,,,846,dikeb,,295728,,,Voicing,465,b,Final,,
766,,DispreferenceFirst,dispreferenceFirst_inverse,-0.6720430107526881,,,,,1488,dogipe,,268254,,,Devoicing,789,p,NonFinal,,
600,,DispreferenceFirst,dispreferenceFirst,-0.9727626459143969,,,,,1028,degop,,571217,,,Devoicing,623,p,Final,,
268,,DispreferenceFirst,dispreferenceFirst,-0.8539709649871904,,,,,1171,bogep,,510541,,,Devoicing,291,p,Final,,
226,,DispreferenceFirst,dispreferenceFirst,-0.7739938080495357,,,,,1292,dikebe,,440424,,,Voicing,249,b,NonFinal,,
378,,DispreferenceFirst,dispreferenceFirst,-0.9041591320072333,,,,,1106,potipe,,184788,,,Devoicing,401,p,NonFinal,,
904,,DispreferenceFirst,dispreferenceFirst,-0.4780114722753346,,,,,2092,degope,,264562,,,Devoicing,927,p,NonFinal,,
434,,DispreferenceFirst,dispreferenceFirst,-1.0427528675703859,,,,,959,gutob,,285859,,,Voicing,457,b,Final,,
223,,DispreferenceFirst,dispreferenceFirst,-0.8340283569641368,,,,,1199,bogep,,434364,,,Devoicing,246,p,Final,,
696,,DispreferenceFirst,dispreferenceFirst_inverse,-0.8496176720475785,,,,,1177,goteb,,144117,,,Voicing,719,b,Final,,
1087,,DispreferenceFirst,dispreferenceFirst,-0.47573739295908657,,,,,2102,potibe,,633126,,,Voicing,1110,b,NonFinal,,
599,,DispreferenceFirst,dispreferenceFirst,-0.966183574879227,,,,,1035,dogip,,570037,,,Devoicing,622,p,Final,,
